experiment_id,group_id,element_id,round,target,mask_position_score_1_5,mask_size_score_1_5,mask_ground_score_1_5,mask_single_clear_score_1_5,character_present_identity_score_1_5,character_placement_score_1_5,character_grounding_score_1_5,interaction_score_1_5,scene_style_preservation_score_1_5,failure_tags,review_note,auto_mask_diameter_px,auto_mask_center_x,auto_mask_center_y
G01-E1-R1,G01,E1,1,右侧主海蚀柱下方岩岸,2,1,1,5,2,2,1,2,3,mask_size_drift;mask_invalid_ground;character_outside_mask;interaction_mismatch,圆落在海蚀柱基部的水岩交界，角色过小且像站在水中。,48.55,1009.31,505.93
G01-E1-R2,G01,E1,2,右侧主海蚀柱下方岩岸,2,1,1,5,2,2,1,2,3,mask_size_drift;mask_invalid_ground;character_outside_mask;interaction_mismatch,仍位于不可确认的潮水区域，尺寸更小，角色身份与动作不可读。,40.43,955.21,498.37
G01-E2-R1,G01,E2,1,左侧海蚀柱群旁海岸步道,4,2,5,5,3,2,4,2,3,mask_size_drift;character_outside_mask;interaction_mismatch,落位到左侧前景步道合理，但角色明显高于圆的覆盖范围。,65.42,320.39,608.92
G01-E2-R2,G01,E2,2,左侧海蚀柱群旁海岸步道,4,4,5,5,4,3,4,2,3,mask_size_drift;character_outside_mask;interaction_mismatch,位置和可读性较好，但同目标两轮尺寸相差巨大，动作也没有体现扶岩远望。,128.21,351.56,592.32
G02-E1-R1,G02,E1,1,左下木屋群前小路,4,1,5,5,2,2,4,2,3,mask_size_drift;character_outside_mask;interaction_mismatch,准确找到木屋前小路，但圆和角色都过小，角色没有抬头看门口。,42.88,449.71,688.44
G02-E1-R2,G02,E1,2,左下木屋群前小路,4,1,5,5,2,2,4,2,3,mask_size_drift;character_outside_mask;interaction_mismatch,语义位置合理但横向漂移约 63px，角色仍是普通站立。,47.74,386.5,692.0
G02-E2-R1,G02,E2,1,右侧主峰前山脚岩坡,4,1,4,5,2,2,4,2,3,mask_size_drift;character_outside_mask;interaction_mismatch,正确选择右侧山脚草坡，但尺寸远小于 108px，动作不可辨。,40.37,972.41,522.8
G02-E2-R2,G02,E2,2,右侧主峰前山脚岩坡,4,1,4,5,2,2,4,2,3,mask_size_drift;character_outside_mask;background_drift;interaction_mismatch,位置复现尚可，但外部像素变化在本组最高，角色仍超出小圆。,46.55,999.4,512.46
G03-E1-R1,G03,E1,1,瀑布下方浅水潭旁石岸,4,5,4,5,4,3,4,5,3,character_outside_mask,本批最佳案例之一：石岸位置、蹲姿与触水雾语义清楚；角色边缘仍略超圆。,118.14,1111.23,509.01
G03-E1-R2,G03,E1,2,瀑布下方浅水潭旁石岸,4,2,4,5,3,2,4,4,3,mask_size_drift;character_outside_mask,仍理解瀑布旁石岸与蹲姿，但圆直径缩小约一半。,58.11,1092.97,522.12
